,Ano,AMZ LEGAL,Estados,Área Desmatada
0,2004,27772,AC,728
1,2004,27772,AM,1232
2,2004,27772,AP,46
3,2004,27772,MA,755
4,2004,27772,MT,11814
5,2004,27772,PA,8870
6,2004,27772,RO,3858
7,2004,27772,RR,311
8,2004,27772,TO,158
9,2005,19014,AC,592
10,2005,19014,AM,775
11,2005,19014,AP,33
12,2005,19014,MA,922
13,2005,19014,MT,7145
14,2005,19014,PA,5899
15,2005,19014,RO,3244
16,2005,19014,RR,133
17,2005,19014,TO,271
18,2006,14286,AC,398
19,2006,14286,AM,788
20,2006,14286,AP,30
21,2006,14286,MA,674
22,2006,14286,MT,4333
23,2006,14286,PA,5659
24,2006,14286,RO,2049
25,2006,14286,RR,231
26,2006,14286,TO,124
27,2007,11651,AC,184
28,2007,11651,AM,610
29,2007,11651,AP,39
30,2007,11651,MA,631
31,2007,11651,MT,2678
32,2007,11651,PA,5526
33,2007,11651,RO,1611
34,2007,11651,RR,309
35,2007,11651,TO,63
36,2008,12911,AC,254
37,2008,12911,AM,604
38,2008,12911,AP,100
39,2008,12911,MA,1271
40,2008,12911,MT,3258
41,2008,12911,PA,5607
42,2008,12911,RO,1136
43,2008,12911,RR,574
44,2008,12911,TO,107
45,2009,7464,AC,167
46,2009,7464,AM,405
47,2009,7464,AP,70
48,2009,7464,MA,828
49,2009,7464,MT,1049
50,2009,7464,PA,4281
51,2009,7464,RO,482
52,2009,7464,RR,121
53,2009,7464,TO,61
54,2010,7000,AC,259
55,2010,7000,AM,595
56,2010,7000,AP,53
57,2010,7000,MA,712
58,2010,7000,MT,871
59,2010,7000,PA,3770
60,2010,7000,RO,435
61,2010,7000,RR,256
62,2010,7000,TO,49
63,2011,6418,AC,280
64,2011,6418,AM,502
65,2011,6418,AP,66
66,2011,6418,MA,396
67,2011,6418,MT,1120
68,2011,6418,PA,3008
69,2011,6418,RO,865
70,2011,6418,RR,141
71,2011,6418,TO,40
72,2012,4571,AC,305
73,2012,4571,AM,523
74,2012,4571,AP,27
75,2012,4571,MA,269
76,2012,4571,MT,757
77,2012,4571,PA,1741
78,2012,4571,RO,773
79,2012,4571,RR,124
80,2012,4571,TO,52
81,2013,5891,AC,221
82,2013,5891,AM,583
83,2013,5891,AP,23
84,2013,5891,MA,403
85,2013,5891,MT,1139
86,2013,5891,PA,2346
87,2013,5891,RO,932
88,2013,5891,RR,170
89,2013,5891,TO,74
90,2014,5012,AC,309
91,2014,5012,AM,500
92,2014,5012,AP,31
93,2014,5012,MA,257
94,2014,5012,MT,1075
95,2014,5012,PA,1887
96,2014,5012,RO,684
97,2014,5012,RR,219
98,2014,5012,TO,50
99,2015,6207,AC,264
100,2015,6207,AM,712
101,2015,6207,AP,25
102,2015,6207,MA,209
103,2015,6207,MT,1601
104,2015,6207,PA,2153
105,2015,6207,RO,1030
106,2015,6207,RR,156
107,2015,6207,TO,57
108,2016,7893,AC,372
109,2016,7893,AM,1129
110,2016,7893,AP,17
111,2016,7893,MA,258
112,2016,7893,MT,1489
113,2016,7893,PA,2992
114,2016,7893,RO,1376
115,2016,7893,RR,202
116,2016,7893,TO,58
117,2017,6947,AC,257
118,2017,6947,AM,1001
119,2017,6947,AP,24
120,2017,6947,MA,265
121,2017,6947,MT,1561
122,2017,6947,PA,2433
123,2017,6947,RO,1243
124,2017,6947,RR,132
125,2017,6947,TO,31
126,2018,7536,AC,444
127,2018,7536,AM,1045
128,2018,7536,AP,24
129,2018,7536,MA,253
130,2018,7536,MT,1490
131,2018,7536,PA,2744
132,2018,7536,RO,1316
133,2018,7536,RR,195
134,2018,7536,TO,25
135,2019,9762,AC,688
136,2019,9762,AM,1421
137,2019,9762,AP,8
138,2019,9762,MA,215
139,2019,9762,MT,1685
140,2019,9762,PA,3862
141,2019,9762,RO,1245
142,2019,9762,RR,617
143,2019,9762,TO,21
